Vendor ID,Vendor Name,Product Name,Product ID
045e, Microsoft,0007,SideWinder Game Pad
045e, Microsoft,0008,SideWinder Precision Pro
045e, Microsoft,000e,SideWinderÂ® Freestyle Pro
045e, Microsoft,001a,SideWinder Precision Racing Wheel
045e, Microsoft,001b,SideWinder Force Feedback 2 Joystick
045e, Microsoft,0026,SideWinder GamePad Pro
045e, Microsoft,0027,SideWinder PnP GamePad
045e, Microsoft,0028,SideWinder Dual Strike
045e, Microsoft,0033,Sidewinder Strategic Commander
045e, Microsoft,0034,SideWinder Force Feedback Wheel
045e, Microsoft,0038,SideWinder Precision 2
045e, Microsoft,003b,SideWinder Game Voice
045e, Microsoft,003c,SideWinder Joystick
045e, Microsoft,0285,Xbox Controller S
045e, Microsoft,0288,Xbox Controller S Hub
045e, Microsoft,0289,Xbox Controller S
045e, Microsoft,028e,Xbox360 Controller
045e, Microsoft,028f,Xbox360 Wireless Controller
045e, Microsoft,0291,Xbox 360 Wireless Receiver for Windows
045e, Microsoft,02a1,Xbox 360 Wireless Receiver for Windows
045e, Microsoft,02d1,Xbox One Controller
045e, Microsoft,02d5,Xbox One Digital TV Tuner
045e, Microsoft,02dd,Xbox One Controller (Firmware 2015)
045e, Microsoft,02e3,Xbox One Elite Controller
045e, Microsoft,02e6,Wireless XBox Controller Dongle
045e, Microsoft,02ea,Xbox One S Controller
045e, Microsoft,02fd,Xbox One S Controller [Bluetooth]
0955, NVIDIA,7214,NVIDIA Controller
0955, NVIDIA,0955,ShieldController
054c, Sony,09cc,Dualshock 4
054c, Sony,0268,PS/DS3
054c, Sony,0ba0,DS4 USB Adaptor
054c, Sony,05c4, Sony Computer Entertainment Wireless Controller
054c, Sony,0268,Batoh Device / PlayStation 3 Controller
054c, Sony,03d5,PlayStation Move motion controller
054c, Sony,042f,PlayStation Move navigation controller
054c, Sony,0cda,PlayStation Classic controller
054c, Sony,0ce6,DualSense wireless controller (PS5)
054c, Sony,05c4,DualShock 4 [CUH-ZCT1x]
054c, Sony,09cc,DualShock 4 [CUH-ZCT2x]
054c, Sony,0ba0,Dualshock4 Wireless Adaptor
2dc8,8BitDo,5006,M30 Bluetooth gamepad
2dc8,8BitDo,5750,Bootloader
2dc8,8BitDo,6000,SF30 Pro gamepad
2dc8,8BitDo,6001,SN30/SF30 Pro gamepad
2dc8,8BitDo,ab11,F30 gamepad
2dc8,8BitDo,ab12,N30 gamepad
2dc8,8BitDo,ab20,SN30/SF30 gamepad
2dc8,8BitDo,ab21,SF30 gamepad
0428,"Advanced Gravis Computer Tech, Ltd",4001,GamePad Pro
050d,Belkin Components,0802,Nostromo n40 Gamepad
050d,Belkin Components,0803,Nostromo 1745 GamePad
